,learning_rate,batch_size,neurons_per_layers,activation_functions,score
440,0.001,32,"[8, 4, 2]","('relu', 'tanh', 'tanh')",tensor(0.2663)
441,0.001,32,"[8, 4, 2]","('sigmoid', 'relu', 'relu')",tensor(1.0120)
442,0.001,32,"[8, 4, 2]","('sigmoid', 'relu', 'sigmoid')",tensor(0.2930)
443,0.001,32,"[8, 4, 2]","('sigmoid', 'relu', 'tanh')",tensor(0.2843)
444,0.001,32,"[8, 4, 2]","('sigmoid', 'sigmoid', 'relu')",tensor(1.0910)
445,0.001,32,"[8, 4, 2]","('sigmoid', 'sigmoid', 'sigmoid')",tensor(0.3040)
446,0.001,32,"[8, 4, 2]","('sigmoid', 'sigmoid', 'tanh')",tensor(0.2896)
447,0.001,32,"[8, 4, 2]","('sigmoid', 'tanh', 'relu')",tensor(0.2457)
448,0.001,32,"[8, 4, 2]","('sigmoid', 'tanh', 'sigmoid')",tensor(0.2578)
449,0.001,32,"[8, 4, 2]","('sigmoid', 'tanh', 'tanh')",tensor(0.2641)
450,0.001,32,"[8, 4, 2]","('tanh', 'relu', 'relu')",tensor(0.2602)
451,0.001,32,"[8, 4, 2]","('tanh', 'relu', 'sigmoid')",tensor(0.2620)
452,0.001,32,"[8, 4, 2]","('tanh', 'relu', 'tanh')",tensor(0.2723)
453,0.001,32,"[8, 4, 2]","('tanh', 'sigmoid', 'relu')",tensor(0.9543)
454,0.001,32,"[8, 4, 2]","('tanh', 'sigmoid', 'sigmoid')",tensor(0.2391)
455,0.001,32,"[8, 4, 2]","('tanh', 'sigmoid', 'tanh')",tensor(0.2662)
456,0.001,32,"[8, 4, 2]","('tanh', 'tanh', 'relu')",tensor(0.2569)
457,0.001,32,"[8, 4, 2]","('tanh', 'tanh', 'sigmoid')",tensor(0.2534)
458,0.001,32,"[8, 4, 2]","('tanh', 'tanh', 'tanh')",tensor(0.2897)
459,0.001,64,"[8, 4, 2]","('relu', 'relu', 'relu')",tensor(0.2529)
460,0.001,64,"[8, 4, 2]","('relu', 'relu', 'sigmoid')",tensor(0.2593)
461,0.001,64,"[8, 4, 2]","('relu', 'relu', 'tanh')",tensor(0.2727)
462,0.001,64,"[8, 4, 2]","('relu', 'sigmoid', 'relu')",tensor(1.0696)
463,0.001,64,"[8, 4, 2]","('relu', 'sigmoid', 'sigmoid')",tensor(0.3032)
464,0.001,64,"[8, 4, 2]","('relu', 'sigmoid', 'tanh')",tensor(0.2683)
465,0.001,64,"[8, 4, 2]","('relu', 'tanh', 'relu')",tensor(0.2901)
466,0.001,64,"[8, 4, 2]","('relu', 'tanh', 'sigmoid')",tensor(0.2531)
467,0.001,64,"[8, 4, 2]","('relu', 'tanh', 'tanh')",tensor(0.2375)
468,0.001,64,"[8, 4, 2]","('sigmoid', 'relu', 'relu')",tensor(0.2772)
469,0.001,64,"[8, 4, 2]","('sigmoid', 'relu', 'sigmoid')",tensor(0.2924)
470,0.001,64,"[8, 4, 2]","('sigmoid', 'relu', 'tanh')",tensor(0.2681)
471,0.001,64,"[8, 4, 2]","('sigmoid', 'sigmoid', 'relu')",tensor(0.3030)
472,0.001,64,"[8, 4, 2]","('sigmoid', 'sigmoid', 'sigmoid')",tensor(0.2954)
473,0.001,64,"[8, 4, 2]","('sigmoid', 'sigmoid', 'tanh')",tensor(0.2924)
474,0.001,64,"[8, 4, 2]","('sigmoid', 'tanh', 'relu')",tensor(0.9697)
475,0.001,64,"[8, 4, 2]","('sigmoid', 'tanh', 'sigmoid')",tensor(0.2790)
476,0.001,64,"[8, 4, 2]","('sigmoid', 'tanh', 'tanh')",tensor(0.2658)
477,0.001,64,"[8, 4, 2]","('tanh', 'relu', 'relu')",tensor(0.2446)
478,0.001,64,"[8, 4, 2]","('tanh', 'relu', 'sigmoid')",tensor(0.2612)
479,0.001,64,"[8, 4, 2]","('tanh', 'relu', 'tanh')",tensor(0.2805)
480,0.001,64,"[8, 4, 2]","('tanh', 'sigmoid', 'relu')",tensor(0.2898)
481,0.001,64,"[8, 4, 2]","('tanh', 'sigmoid', 'sigmoid')",tensor(0.2606)
482,0.001,64,"[8, 4, 2]","('tanh', 'sigmoid', 'tanh')",tensor(0.2701)
483,0.001,64,"[8, 4, 2]","('tanh', 'tanh', 'relu')",tensor(0.2865)
484,0.001,64,"[8, 4, 2]","('tanh', 'tanh', 'sigmoid')",tensor(0.2388)
485,0.001,64,"[8, 4, 2]","('tanh', 'tanh', 'tanh')",tensor(0.2408)
486,0.01,16,"[8, 4, 2]","('relu', 'relu', 'relu')",tensor(0.2209)
487,0.01,16,"[8, 4, 2]","('relu', 'relu', 'sigmoid')",tensor(0.2999)
488,0.01,16,"[8, 4, 2]","('relu', 'relu', 'tanh')",tensor(0.2710)
489,0.01,16,"[8, 4, 2]","('relu', 'sigmoid', 'relu')",tensor(0.2361)
490,0.01,16,"[8, 4, 2]","('relu', 'sigmoid', 'sigmoid')",tensor(0.2215)
491,0.01,16,"[8, 4, 2]","('relu', 'sigmoid', 'tanh')",tensor(0.2665)
492,0.01,16,"[8, 4, 2]","('relu', 'tanh', 'relu')",tensor(0.2373)
493,0.01,16,"[8, 4, 2]","('relu', 'tanh', 'sigmoid')",tensor(0.2319)
494,0.01,16,"[8, 4, 2]","('relu', 'tanh', 'tanh')",tensor(0.2575)
495,0.01,16,"[8, 4, 2]","('sigmoid', 'relu', 'relu')",tensor(1.0095)
496,0.01,16,"[8, 4, 2]","('sigmoid', 'relu', 'sigmoid')",tensor(0.2471)
497,0.01,16,"[8, 4, 2]","('sigmoid', 'relu', 'tanh')",tensor(0.2303)
498,0.01,16,"[8, 4, 2]","('sigmoid', 'sigmoid', 'relu')",tensor(0.2214)
499,0.01,16,"[8, 4, 2]","('sigmoid', 'sigmoid', 'sigmoid')",tensor(0.2445)
500,0.01,16,"[8, 4, 2]","('sigmoid', 'sigmoid', 'tanh')",tensor(0.2363)
501,0.01,16,"[8, 4, 2]","('sigmoid', 'tanh', 'relu')",tensor(1.0575)
502,0.01,16,"[8, 4, 2]","('sigmoid', 'tanh', 'sigmoid')",tensor(0.2188)
503,0.01,16,"[8, 4, 2]","('sigmoid', 'tanh', 'tanh')",tensor(0.2372)
504,0.01,16,"[8, 4, 2]","('tanh', 'relu', 'relu')",tensor(0.2430)
505,0.01,16,"[8, 4, 2]","('tanh', 'relu', 'sigmoid')",tensor(0.2473)
506,0.01,16,"[8, 4, 2]","('tanh', 'relu', 'tanh')",tensor(0.2564)
507,0.01,16,"[8, 4, 2]","('tanh', 'sigmoid', 'relu')",tensor(0.2423)
508,0.01,16,"[8, 4, 2]","('tanh', 'sigmoid', 'sigmoid')",tensor(0.2636)
509,0.01,16,"[8, 4, 2]","('tanh', 'sigmoid', 'tanh')",tensor(0.2617)
510,0.01,16,"[8, 4, 2]","('tanh', 'tanh', 'relu')",tensor(1.0549)
511,0.01,16,"[8, 4, 2]","('tanh', 'tanh', 'sigmoid')",tensor(0.2559)
512,0.01,16,"[8, 4, 2]","('tanh', 'tanh', 'tanh')",tensor(0.2551)
513,0.01,32,"[8, 4, 2]","('relu', 'relu', 'relu')",tensor(0.2698)
514,0.01,32,"[8, 4, 2]","('relu', 'relu', 'sigmoid')",tensor(0.2276)
515,0.01,32,"[8, 4, 2]","('relu', 'relu', 'tanh')",tensor(0.2522)
516,0.01,32,"[8, 4, 2]","('relu', 'sigmoid', 'relu')",tensor(0.2483)
517,0.01,32,"[8, 4, 2]","('relu', 'sigmoid', 'sigmoid')",tensor(0.2457)
518,0.01,32,"[8, 4, 2]","('relu', 'sigmoid', 'tanh')",tensor(0.2633)
519,0.01,32,"[8, 4, 2]","('relu', 'tanh', 'relu')",tensor(0.2562)
520,0.01,32,"[8, 4, 2]","('relu', 'tanh', 'sigmoid')",tensor(0.2275)
521,0.01,32,"[8, 4, 2]","('relu', 'tanh', 'tanh')",tensor(0.2197)
522,0.01,32,"[8, 4, 2]","('sigmoid', 'relu', 'relu')",tensor(0.2557)
523,0.01,32,"[8, 4, 2]","('sigmoid', 'relu', 'sigmoid')",tensor(0.2166)
524,0.01,32,"[8, 4, 2]","('sigmoid', 'relu', 'tanh')",tensor(0.2580)
525,0.01,32,"[8, 4, 2]","('sigmoid', 'sigmoid', 'relu')",tensor(0.9997)
526,0.01,32,"[8, 4, 2]","('sigmoid', 'sigmoid', 'sigmoid')",tensor(0.2190)
527,0.01,32,"[8, 4, 2]","('sigmoid', 'sigmoid', 'tanh')",tensor(0.2545)
528,0.01,32,"[8, 4, 2]","('sigmoid', 'tanh', 'relu')",tensor(0.2181)
529,0.01,32,"[8, 4, 2]","('sigmoid', 'tanh', 'sigmoid')",tensor(0.2324)
530,0.01,32,"[8, 4, 2]","('sigmoid', 'tanh', 'tanh')",tensor(0.2739)
531,0.01,32,"[8, 4, 2]","('tanh', 'relu', 'relu')",tensor(0.9821)
532,0.01,32,"[8, 4, 2]","('tanh', 'relu', 'sigmoid')",tensor(0.2606)
533,0.01,32,"[8, 4, 2]","('tanh', 'relu', 'tanh')",tensor(0.2385)
534,0.01,32,"[8, 4, 2]","('tanh', 'sigmoid', 'relu')",tensor(0.2636)
535,0.01,32,"[8, 4, 2]","('tanh', 'sigmoid', 'sigmoid')",tensor(0.2486)
536,0.01,32,"[8, 4, 2]","('tanh', 'sigmoid', 'tanh')",tensor(0.2292)
537,0.01,32,"[8, 4, 2]","('tanh', 'tanh', 'relu')",tensor(0.2389)
538,0.01,32,"[8, 4, 2]","('tanh', 'tanh', 'sigmoid')",tensor(0.2283)
539,0.01,32,"[8, 4, 2]","('tanh', 'tanh', 'tanh')",tensor(0.2493)
540,0.01,64,"[8, 4, 2]","('relu', 'relu', 'relu')",tensor(0.2392)
541,0.01,64,"[8, 4, 2]","('relu', 'relu', 'sigmoid')",tensor(0.2402)
542,0.01,64,"[8, 4, 2]","('relu', 'relu', 'tanh')",tensor(0.2218)
543,0.01,64,"[8, 4, 2]","('relu', 'sigmoid', 'relu')",tensor(1.0514)
544,0.01,64,"[8, 4, 2]","('relu', 'sigmoid', 'sigmoid')",tensor(0.2755)
545,0.01,64,"[8, 4, 2]","('relu', 'sigmoid', 'tanh')",tensor(0.2539)
546,0.01,64,"[8, 4, 2]","('relu', 'tanh', 'relu')",tensor(0.2449)
547,0.01,64,"[8, 4, 2]","('relu', 'tanh', 'sigmoid')",tensor(0.2692)
548,0.01,64,"[8, 4, 2]","('relu', 'tanh', 'tanh')",tensor(0.2514)
549,0.01,64,"[8, 4, 2]","('sigmoid', 'relu', 'relu')",tensor(1.0524)
550,0.01,64,"[8, 4, 2]","('sigmoid', 'relu', 'sigmoid')",tensor(0.2432)
551,0.01,64,"[8, 4, 2]","('sigmoid', 'relu', 'tanh')",tensor(0.2864)
552,0.01,64,"[8, 4, 2]","('sigmoid', 'sigmoid', 'relu')",tensor(0.2502)
553,0.01,64,"[8, 4, 2]","('sigmoid', 'sigmoid', 'sigmoid')",tensor(0.2736)
554,0.01,64,"[8, 4, 2]","('sigmoid', 'sigmoid', 'tanh')",tensor(0.2444)
555,0.01,64,"[8, 4, 2]","('sigmoid', 'tanh', 'relu')",tensor(0.9384)
556,0.01,64,"[8, 4, 2]","('sigmoid', 'tanh', 'sigmoid')",tensor(0.2649)
557,0.01,64,"[8, 4, 2]","('sigmoid', 'tanh', 'tanh')",tensor(0.2456)
558,0.01,64,"[8, 4, 2]","('tanh', 'relu', 'relu')",tensor(0.2582)
559,0.01,64,"[8, 4, 2]","('tanh', 'relu', 'sigmoid')",tensor(0.2568)
560,0.01,64,"[8, 4, 2]","('tanh', 'relu', 'tanh')",tensor(0.2665)
561,0.01,64,"[8, 4, 2]","('tanh', 'sigmoid', 'relu')",tensor(0.2387)
562,0.01,64,"[8, 4, 2]","('tanh', 'sigmoid', 'sigmoid')",tensor(0.2666)
563,0.01,64,"[8, 4, 2]","('tanh', 'sigmoid', 'tanh')",tensor(0.2507)
564,0.01,64,"[8, 4, 2]","('tanh', 'tanh', 'relu')",tensor(0.2289)
565,0.01,64,"[8, 4, 2]","('tanh', 'tanh', 'sigmoid')",tensor(0.2302)
566,0.01,64,"[8, 4, 2]","('tanh', 'tanh', 'tanh')",tensor(0.2376)
567,0.0001,16,"[12, 6, 3]","('relu', 'relu', 'relu')",tensor(0.2847)
568,0.0001,16,"[12, 6, 3]","('relu', 'relu', 'sigmoid')",tensor(0.2957)
569,0.0001,16,"[12, 6, 3]","('relu', 'relu', 'tanh')",tensor(0.2400)
570,0.0001,16,"[12, 6, 3]","('relu', 'sigmoid', 'relu')",tensor(0.2899)
571,0.0001,16,"[12, 6, 3]","('relu', 'sigmoid', 'sigmoid')",tensor(0.2885)
572,0.0001,16,"[12, 6, 3]","('relu', 'sigmoid', 'tanh')",tensor(0.2652)
573,0.0001,16,"[12, 6, 3]","('relu', 'tanh', 'relu')",tensor(0.2596)
574,0.0001,16,"[12, 6, 3]","('relu', 'tanh', 'sigmoid')",tensor(0.2728)
575,0.0001,16,"[12, 6, 3]","('relu', 'tanh', 'tanh')",tensor(0.2595)
576,0.0001,16,"[12, 6, 3]","('sigmoid', 'relu', 'relu')",tensor(1.0022)
577,0.0001,16,"[12, 6, 3]","('sigmoid', 'relu', 'sigmoid')",tensor(0.2990)
578,0.0001,16,"[12, 6, 3]","('sigmoid', 'relu', 'tanh')",tensor(0.3267)
579,0.0001,16,"[12, 6, 3]","('sigmoid', 'sigmoid', 'relu')",tensor(0.3389)
580,0.0001,16,"[12, 6, 3]","('sigmoid', 'sigmoid', 'sigmoid')",tensor(0.2912)
581,0.0001,16,"[12, 6, 3]","('sigmoid', 'sigmoid', 'tanh')",tensor(0.2900)
582,0.0001,16,"[12, 6, 3]","('sigmoid', 'tanh', 'relu')",tensor(0.3177)
583,0.0001,16,"[12, 6, 3]","('sigmoid', 'tanh', 'sigmoid')",tensor(0.3002)
584,0.0001,16,"[12, 6, 3]","('sigmoid', 'tanh', 'tanh')",tensor(0.2913)
585,0.0001,16,"[12, 6, 3]","('tanh', 'relu', 'relu')",tensor(0.2847)
586,0.0001,16,"[12, 6, 3]","('tanh', 'relu', 'sigmoid')",tensor(0.2652)
587,0.0001,16,"[12, 6, 3]","('tanh', 'relu', 'tanh')",tensor(0.2820)
588,0.0001,16,"[12, 6, 3]","('tanh', 'sigmoid', 'relu')",tensor(0.2939)
589,0.0001,16,"[12, 6, 3]","('tanh', 'sigmoid', 'sigmoid')",tensor(0.2831)
590,0.0001,16,"[12, 6, 3]","('tanh', 'sigmoid', 'tanh')",tensor(0.2780)
591,0.0001,16,"[12, 6, 3]","('tanh', 'tanh', 'relu')",tensor(0.2781)
592,0.0001,16,"[12, 6, 3]","('tanh', 'tanh', 'sigmoid')",tensor(0.2780)
593,0.0001,16,"[12, 6, 3]","('tanh', 'tanh', 'tanh')",tensor(0.2610)
594,0.0001,32,"[12, 6, 3]","('relu', 'relu', 'relu')",tensor(0.2874)
595,0.0001,32,"[12, 6, 3]","('relu', 'relu', 'sigmoid')",tensor(0.2859)
596,0.0001,32,"[12, 6, 3]","('relu', 'relu', 'tanh')",tensor(0.2713)
597,0.0001,32,"[12, 6, 3]","('relu', 'sigmoid', 'relu')",tensor(0.2550)
598,0.0001,32,"[12, 6, 3]","('relu', 'sigmoid', 'sigmoid')",tensor(0.2952)
599,0.0001,32,"[12, 6, 3]","('relu', 'sigmoid', 'tanh')",tensor(0.2918)
600,0.0001,32,"[12, 6, 3]","('relu', 'tanh', 'relu')",tensor(0.2813)
601,0.0001,32,"[12, 6, 3]","('relu', 'tanh', 'sigmoid')",tensor(0.2880)
602,0.0001,32,"[12, 6, 3]","('relu', 'tanh', 'tanh')",tensor(0.2989)
603,0.0001,32,"[12, 6, 3]","('sigmoid', 'relu', 'relu')",tensor(0.2728)
604,0.0001,32,"[12, 6, 3]","('sigmoid', 'relu', 'sigmoid')",tensor(0.3298)
605,0.0001,32,"[12, 6, 3]","('sigmoid', 'relu', 'tanh')",tensor(0.3241)
606,0.0001,32,"[12, 6, 3]","('sigmoid', 'sigmoid', 'relu')",tensor(0.2990)
607,0.0001,32,"[12, 6, 3]","('sigmoid', 'sigmoid', 'sigmoid')",tensor(0.3148)
608,0.0001,32,"[12, 6, 3]","('sigmoid', 'sigmoid', 'tanh')",tensor(0.3267)
609,0.0001,32,"[12, 6, 3]","('sigmoid', 'tanh', 'relu')",tensor(0.3430)
610,0.0001,32,"[12, 6, 3]","('sigmoid', 'tanh', 'sigmoid')",tensor(0.3222)
611,0.0001,32,"[12, 6, 3]","('sigmoid', 'tanh', 'tanh')",tensor(0.3178)
612,0.0001,32,"[12, 6, 3]","('tanh', 'relu', 'relu')",tensor(0.2676)
613,0.0001,32,"[12, 6, 3]","('tanh', 'relu', 'sigmoid')",tensor(0.2981)
614,0.0001,32,"[12, 6, 3]","('tanh', 'relu', 'tanh')",tensor(0.2798)
615,0.0001,32,"[12, 6, 3]","('tanh', 'sigmoid', 'relu')",tensor(0.2855)
616,0.0001,32,"[12, 6, 3]","('tanh', 'sigmoid', 'sigmoid')",tensor(0.3046)
617,0.0001,32,"[12, 6, 3]","('tanh', 'sigmoid', 'tanh')",tensor(0.2950)
618,0.0001,32,"[12, 6, 3]","('tanh', 'tanh', 'relu')",tensor(0.2638)
619,0.0001,32,"[12, 6, 3]","('tanh', 'tanh', 'sigmoid')",tensor(0.2664)
620,0.0001,32,"[12, 6, 3]","('tanh', 'tanh', 'tanh')",tensor(0.2715)
621,0.0001,64,"[12, 6, 3]","('relu', 'relu', 'relu')",tensor(0.2720)
622,0.0001,64,"[12, 6, 3]","('relu', 'relu', 'sigmoid')",tensor(0.2819)
623,0.0001,64,"[12, 6, 3]","('relu', 'relu', 'tanh')",tensor(0.2661)
624,0.0001,64,"[12, 6, 3]","('relu', 'sigmoid', 'relu')",tensor(0.3122)
625,0.0001,64,"[12, 6, 3]","('relu', 'sigmoid', 'sigmoid')",tensor(0.2801)
626,0.0001,64,"[12, 6, 3]","('relu', 'sigmoid', 'tanh')",tensor(0.2855)
627,0.0001,64,"[12, 6, 3]","('relu', 'tanh', 'relu')",tensor(0.2667)
628,0.0001,64,"[12, 6, 3]","('relu', 'tanh', 'sigmoid')",tensor(0.2788)
629,0.0001,64,"[12, 6, 3]","('relu', 'tanh', 'tanh')",tensor(0.2958)
630,0.0001,64,"[12, 6, 3]","('sigmoid', 'relu', 'relu')",tensor(0.3286)
631,0.0001,64,"[12, 6, 3]","('sigmoid', 'relu', 'sigmoid')",tensor(0.3378)
632,0.0001,64,"[12, 6, 3]","('sigmoid', 'relu', 'tanh')",tensor(0.3074)
633,0.0001,64,"[12, 6, 3]","('sigmoid', 'sigmoid', 'relu')",tensor(0.3264)
634,0.0001,64,"[12, 6, 3]","('sigmoid', 'sigmoid', 'sigmoid')",tensor(0.3151)
635,0.0001,64,"[12, 6, 3]","('sigmoid', 'sigmoid', 'tanh')",tensor(0.3301)
636,0.0001,64,"[12, 6, 3]","('sigmoid', 'tanh', 'relu')",tensor(0.3313)
637,0.0001,64,"[12, 6, 3]","('sigmoid', 'tanh', 'sigmoid')",tensor(0.3309)
638,0.0001,64,"[12, 6, 3]","('sigmoid', 'tanh', 'tanh')",tensor(0.3229)
639,0.0001,64,"[12, 6, 3]","('tanh', 'relu', 'relu')",tensor(0.2858)
640,0.0001,64,"[12, 6, 3]","('tanh', 'relu', 'sigmoid')",tensor(0.3304)
641,0.0001,64,"[12, 6, 3]","('tanh', 'relu', 'tanh')",tensor(0.2442)
642,0.0001,64,"[12, 6, 3]","('tanh', 'sigmoid', 'relu')",tensor(0.2813)
643,0.0001,64,"[12, 6, 3]","('tanh', 'sigmoid', 'sigmoid')",tensor(0.3321)
644,0.0001,64,"[12, 6, 3]","('tanh', 'sigmoid', 'tanh')",tensor(0.3029)
645,0.0001,64,"[12, 6, 3]","('tanh', 'tanh', 'relu')",tensor(0.2506)
646,0.0001,64,"[12, 6, 3]","('tanh', 'tanh', 'sigmoid')",tensor(0.3187)
647,0.0001,64,"[12, 6, 3]","('tanh', 'tanh', 'tanh')",tensor(0.3182)
648,0.001,16,"[12, 6, 3]","('relu', 'relu', 'relu')",tensor(0.2565)
649,0.001,16,"[12, 6, 3]","('relu', 'relu', 'sigmoid')",tensor(0.2579)
650,0.001,16,"[12, 6, 3]","('relu', 'relu', 'tanh')",tensor(0.2165)
651,0.001,16,"[12, 6, 3]","('relu', 'sigmoid', 'relu')",tensor(0.2823)
652,0.001,16,"[12, 6, 3]","('relu', 'sigmoid', 'sigmoid')",tensor(0.2400)
653,0.001,16,"[12, 6, 3]","('relu', 'sigmoid', 'tanh')",tensor(0.2608)
654,0.001,16,"[12, 6, 3]","('relu', 'tanh', 'relu')",tensor(0.2523)
655,0.001,16,"[12, 6, 3]","('relu', 'tanh', 'sigmoid')",tensor(0.2273)
656,0.001,16,"[12, 6, 3]","('relu', 'tanh', 'tanh')",tensor(0.2465)
657,0.001,16,"[12, 6, 3]","('sigmoid', 'relu', 'relu')",tensor(0.2602)
658,0.001,16,"[12, 6, 3]","('sigmoid', 'relu', 'sigmoid')",tensor(0.2365)
659,0.001,16,"[12, 6, 3]","('sigmoid', 'relu', 'tanh')",tensor(0.2555)
660,0.001,16,"[12, 6, 3]","('sigmoid', 'sigmoid', 'relu')",tensor(0.2686)
661,0.001,16,"[12, 6, 3]","('sigmoid', 'sigmoid', 'sigmoid')",tensor(0.2640)
662,0.001,16,"[12, 6, 3]","('sigmoid', 'sigmoid', 'tanh')",tensor(0.2650)
663,0.001,16,"[12, 6, 3]","('sigmoid', 'tanh', 'relu')",tensor(0.2911)
664,0.001,16,"[12, 6, 3]","('sigmoid', 'tanh', 'sigmoid')",tensor(0.2516)
665,0.001,16,"[12, 6, 3]","('sigmoid', 'tanh', 'tanh')",tensor(0.2636)
666,0.001,16,"[12, 6, 3]","('tanh', 'relu', 'relu')",tensor(0.2863)
667,0.001,16,"[12, 6, 3]","('tanh', 'relu', 'sigmoid')",tensor(0.2502)
668,0.001,16,"[12, 6, 3]","('tanh', 'relu', 'tanh')",tensor(0.2835)
669,0.001,16,"[12, 6, 3]","('tanh', 'sigmoid', 'relu')",tensor(0.2284)
670,0.001,16,"[12, 6, 3]","('tanh', 'sigmoid', 'sigmoid')",tensor(0.2682)
671,0.001,16,"[12, 6, 3]","('tanh', 'sigmoid', 'tanh')",tensor(0.2576)
672,0.001,16,"[12, 6, 3]","('tanh', 'tanh', 'relu')",tensor(0.2777)
673,0.001,16,"[12, 6, 3]","('tanh', 'tanh', 'sigmoid')",tensor(0.2687)
674,0.001,16,"[12, 6, 3]","('tanh', 'tanh', 'tanh')",tensor(0.2649)
675,0.001,32,"[12, 6, 3]","('relu', 'relu', 'relu')",tensor(0.2852)
676,0.001,32,"[12, 6, 3]","('relu', 'relu', 'sigmoid')",tensor(0.2497)
677,0.001,32,"[12, 6, 3]","('relu', 'relu', 'tanh')",tensor(0.2227)
678,0.001,32,"[12, 6, 3]","('relu', 'sigmoid', 'relu')",tensor(0.2896)
679,0.001,32,"[12, 6, 3]","('relu', 'sigmoid', 'sigmoid')",tensor(0.2599)
680,0.001,32,"[12, 6, 3]","('relu', 'sigmoid', 'tanh')",tensor(0.2327)
681,0.001,32,"[12, 6, 3]","('relu', 'tanh', 'relu')",tensor(0.2427)
682,0.001,32,"[12, 6, 3]","('relu', 'tanh', 'sigmoid')",tensor(0.2695)
683,0.001,32,"[12, 6, 3]","('relu', 'tanh', 'tanh')",tensor(0.2723)
684,0.001,32,"[12, 6, 3]","('sigmoid', 'relu', 'relu')",tensor(0.2793)
685,0.001,32,"[12, 6, 3]","('sigmoid', 'relu', 'sigmoid')",tensor(0.2614)
686,0.001,32,"[12, 6, 3]","('sigmoid', 'relu', 'tanh')",tensor(0.2816)
687,0.001,32,"[12, 6, 3]","('sigmoid', 'sigmoid', 'relu')",tensor(1.0134)
688,0.001,32,"[12, 6, 3]","('sigmoid', 'sigmoid', 'sigmoid')",tensor(0.2454)
689,0.001,32,"[12, 6, 3]","('sigmoid', 'sigmoid', 'tanh')",tensor(0.2952)
690,0.001,32,"[12, 6, 3]","('sigmoid', 'tanh', 'relu')",tensor(0.2787)
691,0.001,32,"[12, 6, 3]","('sigmoid', 'tanh', 'sigmoid')",tensor(0.2677)
692,0.001,32,"[12, 6, 3]","('sigmoid', 'tanh', 'tanh')",tensor(0.2676)
693,0.001,32,"[12, 6, 3]","('tanh', 'relu', 'relu')",tensor(0.2439)
694,0.001,32,"[12, 6, 3]","('tanh', 'relu', 'sigmoid')",tensor(0.2565)
695,0.001,32,"[12, 6, 3]","('tanh', 'relu', 'tanh')",tensor(0.2535)
696,0.001,32,"[12, 6, 3]","('tanh', 'sigmoid', 'relu')",tensor(0.2650)
697,0.001,32,"[12, 6, 3]","('tanh', 'sigmoid', 'sigmoid')",tensor(0.2471)
698,0.001,32,"[12, 6, 3]","('tanh', 'sigmoid', 'tanh')",tensor(0.2906)
699,0.001,32,"[12, 6, 3]","('tanh', 'tanh', 'relu')",tensor(0.2718)
700,0.001,32,"[12, 6, 3]","('tanh', 'tanh', 'sigmoid')",tensor(0.2408)
701,0.001,32,"[12, 6, 3]","('tanh', 'tanh', 'tanh')",tensor(0.2555)
702,0.001,64,"[12, 6, 3]","('relu', 'relu', 'relu')",tensor(0.2702)
703,0.001,64,"[12, 6, 3]","('relu', 'relu', 'sigmoid')",tensor(0.2714)
704,0.001,64,"[12, 6, 3]","('relu', 'relu', 'tanh')",tensor(0.2594)
705,0.001,64,"[12, 6, 3]","('relu', 'sigmoid', 'relu')",tensor(0.2843)
706,0.001,64,"[12, 6, 3]","('relu', 'sigmoid', 'sigmoid')",tensor(0.2770)
707,0.001,64,"[12, 6, 3]","('relu', 'sigmoid', 'tanh')",tensor(0.2752)
708,0.001,64,"[12, 6, 3]","('relu', 'tanh', 'relu')",tensor(0.2521)
709,0.001,64,"[12, 6, 3]","('relu', 'tanh', 'sigmoid')",tensor(0.2652)
710,0.001,64,"[12, 6, 3]","('relu', 'tanh', 'tanh')",tensor(0.2315)
711,0.001,64,"[12, 6, 3]","('sigmoid', 'relu', 'relu')",tensor(0.2965)
712,0.001,64,"[12, 6, 3]","('sigmoid', 'relu', 'sigmoid')",tensor(0.2842)
713,0.001,64,"[12, 6, 3]","('sigmoid', 'relu', 'tanh')",tensor(0.3111)
714,0.001,64,"[12, 6, 3]","('sigmoid', 'sigmoid', 'relu')",tensor(0.3271)
715,0.001,64,"[12, 6, 3]","('sigmoid', 'sigmoid', 'sigmoid')",tensor(0.2951)
716,0.001,64,"[12, 6, 3]","('sigmoid', 'sigmoid', 'tanh')",tensor(0.2971)
717,0.001,64,"[12, 6, 3]","('sigmoid', 'tanh', 'relu')",tensor(0.2736)
718,0.001,64,"[12, 6, 3]","('sigmoid', 'tanh', 'sigmoid')",tensor(0.2676)
719,0.001,64,"[12, 6, 3]","('sigmoid', 'tanh', 'tanh')",tensor(0.2918)
720,0.001,64,"[12, 6, 3]","('tanh', 'relu', 'relu')",tensor(0.2944)
721,0.001,64,"[12, 6, 3]","('tanh', 'relu', 'sigmoid')",tensor(0.2520)
722,0.001,64,"[12, 6, 3]","('tanh', 'relu', 'tanh')",tensor(0.2207)
723,0.001,64,"[12, 6, 3]","('tanh', 'sigmoid', 'relu')",tensor(0.2473)
724,0.001,64,"[12, 6, 3]","('tanh', 'sigmoid', 'sigmoid')",tensor(0.2564)
725,0.001,64,"[12, 6, 3]","('tanh', 'sigmoid', 'tanh')",tensor(0.2760)
726,0.001,64,"[12, 6, 3]","('tanh', 'tanh', 'relu')",tensor(0.2247)
727,0.001,64,"[12, 6, 3]","('tanh', 'tanh', 'sigmoid')",tensor(0.2554)
728,0.001,64,"[12, 6, 3]","('tanh', 'tanh', 'tanh')",tensor(0.2356)
